,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_tpu_nJ
2,1-gpt2-small,46431,108774,85776,0.000904191,0.00108774,12,92.16341827482614,76.61144513701191,244767.82330800002
4,2-gpt2-medium,49919,151178,114368,0.001193599,0.0015117800000000001,24,34.90842960380049,27.56132947033739,340187.0850760001
6,2-opt-350m,68770,181874,114368,0.0012124500000000001,0.0018187400000000001,24,34.36567830975848,22.909633409210038,409260.513508
9,3-gpt2-large,56882,196654,142960,0.0014864820000000001,0.00196654,36,18.68692508740622,14.125203544183071,442519.0902680001
7,4-gpt2-xl,71250,267314,178700,0.00185825,0.00267314,48,11.211265079151532,7.793581081923631,601521.1899880001
10,3-opt-1b3m,129023,462058,228736,0.0024163830000000002,0.00462058,24,17.243403329135596,9.017626935723797,1039742.3180359999
8,4-opt-2b7m,164080,585926,232832,0.0024924,0.005859260000000001,32,12.538115872251645,5.333438010943361,1318475.2940920002
5,1-llama-7b,244099,922244,245120,0.002695299,0.00922244,32,11.594260970675238,3.388474199886364,2075272.1830480003
3,5-opt-6b7m,322854,1104986,245120,0.002774054,0.01104986,32,11.26510154452653,2.8280901296487015,2486485.9066120004
1,2-llama-13b,344382,1347494,306400,0.003408382,0.013474940000000001,40,7.334858592728162,1.8552958306307854,3032187.593548001
0,6-opt-13b,466250,1626994,306400,0.0035302500000000004,0.01626994,40,7.081651441116068,1.5365760414605094,3661130.2325480003
11,7-opt-30b,839472,2965922,428960,0.005129072,0.029659220000000003,48,4.061813391064375,0.702423507203943,6674042.2531240005
