,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_tpu_nJ
2,1-gpt2-small,46431,68934,45936,0.000505791,0.0006893400000000001,12,164.75843447853626,120.88857941412557,155118.18202800004
4,2-gpt2-medium,49919,98058,61248,0.000662399,0.00098058,24,62.90267145129547,42.491858559899924,220654.23003600002
6,2-opt-350m,68770,128754,61248,0.00068125,0.00128754,24,61.162079510703364,32.36145414252503,289727.65846800007
9,3-gpt2-large,56882,130254,76560,0.000822482,0.00130254,36,33.77311330555292,21.32585392984306,293103.02146799996
7,4-gpt2-xl,71250,184314,95700,0.00102825,0.00184314,48,20.26096117999838,11.30317465484626,414751.1039880001
10,3-opt-1b3m,129023,355818,122496,0.001353983,0.00355818,24,30.773404589767125,11.710106477656181,800676.607956
8,4-opt-2b7m,164080,477638,124544,0.00140952,0.00477638,32,22.17066802883251,6.542611768745368,1074801.0883960002
5,1-llama-7b,244099,807812,130688,0.001550979,0.008078120000000001,32,20.148564229431862,3.868474347991859,1817772.4905040003
3,5-opt-6b7m,322854,990554,130688,0.001629734,0.009905540000000001,32,19.174908297918556,3.1548002430962874,2228986.214068
1,2-llama-13b,344382,1204454,163360,0.001977982,0.012044540000000001,40,12.639144340039495,2.0756292892879262,2710312.9778680005
0,6-opt-13b,466250,1483954,163360,0.0020998500000000003,0.014839540000000002,40,11.905612305640878,1.684688339395965,3339255.6168680005
11,7-opt-30b,839472,2765666,228704,0.003126512,0.027656660000000003,48,6.663442626586218,0.7532845012135714,6223417.7911720015
